Date,DJI,GSPC,NDX,RUT
2021-11-02,36052.62890625,4630.64990234375,15972.490234375,2361.860107421875
2021-11-03,36157.578125,4660.56982421875,16144.5,2404.280029296875
2021-11-04,36124.23046875,4680.06005859375,16346.240234375,2402.429931640625
2021-11-05,36327.94921875,4697.52978515625,16359.3798828125,2437.080078125
2021-11-08,36432.21875,4701.7001953125,16336.0302734375,2442.739990234375
2021-11-09,36319.98046875,4685.25,16219.9404296875,2427.2900390625
2021-11-10,36079.94140625,4646.7099609375,15985.5703125,2389.580078125
2021-11-11,35921.23046875,4649.27001953125,16032.4697265625,2409.139892578125
2021-11-12,36100.30859375,4682.85009765625,16199.8896484375,2411.780029296875
2021-11-15,36087.44921875,4682.7998046875,16189.1201171875,2400.929931640625
2021-11-16,36142.21875,4700.89990234375,16309.76953125,2405.02001953125
2021-11-17,35931.05078125,4688.669921875,16308.0703125,2377.010009765625
2021-11-18,35870.94921875,4704.5400390625,16482.970703125,2363.590087890625
2021-11-19,35601.98046875,4697.9599609375,16573.33984375,2343.159912109375
2021-11-22,35619.25,4682.93994140625,16380.98046875,2331.35009765625
2021-11-23,35813.80078125,4690.7001953125,16306.7197265625,2327.860107421875
2021-11-24,35804.37890625,4701.4599609375,16367.8095703125,2331.4599609375
2021-11-26,34899.33984375,4594.6201171875,16025.580078125,2245.93994140625
2021-11-29,35135.94140625,4655.27001953125,16399.240234375,2241.97998046875
2021-11-30,34483.71875,4567.0,16135.919921875,2198.909912109375
2021-12-01,34022.0390625,4513.0400390625,15877.7197265625,2147.419921875
2021-12-02,34639.7890625,4577.10009765625,15990.759765625,2206.330078125
2021-12-03,34580.078125,4538.43017578125,15712.0400390625,2159.31005859375
2021-12-06,35227.03125,4591.669921875,15846.16015625,2203.47998046875
2021-12-07,35719.4296875,4686.75,16325.66015625,2253.7900390625
2021-12-08,35754.75,4701.2099609375,16394.33984375,2271.7099609375
2021-12-09,35754.69140625,4667.4501953125,16149.5703125,2220.2099609375
2021-12-10,35970.98828125,4712.02001953125,16331.98046875,2211.81005859375
2021-12-13,35650.94921875,4668.97021484375,16082.5498046875,2180.5
2021-12-14,35544.1796875,4634.08984375,15914.900390625,2159.64990234375
2021-12-15,35927.4296875,4709.85009765625,16289.58984375,2195.2099609375
2021-12-16,35897.640625,4668.669921875,15863.9404296875,2152.4599609375
2021-12-17,35365.44140625,4620.64013671875,15801.4599609375,2173.929931640625
2021-12-20,34932.16015625,4568.02001953125,15627.6396484375,2139.8701171875
2021-12-21,35492.69921875,4649.22998046875,15986.2802734375,2202.949951171875
2021-12-22,35753.890625,4696.56005859375,16180.1396484375,2221.89990234375
2021-12-23,35950.55859375,4725.7900390625,16308.2099609375,2241.580078125
2021-12-27,36302.37890625,4791.18994140625,16567.5,2261.4599609375
2021-12-28,36398.2109375,4786.35009765625,16488.66015625,2246.510009765625
2021-12-29,36488.62890625,4793.06005859375,16491.009765625,2249.239990234375
2021-12-30,36398.078125,4778.72998046875,16429.099609375,2248.7900390625
2021-12-31,36338.30078125,4766.18017578125,16320.080078125,2245.31005859375
2022-01-03,36585.05859375,4796.56005859375,16501.76953125,2272.56005859375
2022-01-04,36799.6484375,4793.5400390625,16279.73046875,2268.8701171875
2022-01-05,36407.109375,4700.580078125,15771.7802734375,2194.0
2022-01-06,36236.46875,4696.0498046875,15765.3603515625,2206.3701171875
2022-01-07,36231.66015625,4677.02978515625,15592.1904296875,2179.81005859375
2022-01-10,36068.87109375,4670.2900390625,15614.4296875,2171.14990234375
2022-01-11,36252.01953125,4713.06982421875,15844.1201171875,2194.0
2022-01-12,36290.3203125,4726.35009765625,15905.099609375,2176.06005859375
2022-01-13,36113.62109375,4659.02978515625,15495.6201171875,2159.43994140625
2022-01-14,35911.80859375,4662.85009765625,15611.58984375,2162.4599609375
2022-01-18,35368.46875,4577.10986328125,15210.759765625,2096.22998046875
2022-01-19,35028.6484375,4532.759765625,15047.83984375,2062.780029296875
2022-01-20,34715.390625,4482.72998046875,14846.4599609375,2024.0400390625
2022-01-21,34265.37109375,4397.93994140625,14438.400390625,1987.9200439453125
2022-01-24,34364.5,4410.1298828125,14509.580078125,2033.510009765625
2022-01-25,34297.73046875,4356.4501953125,14149.1201171875,2004.030029296875
2022-01-26,34168.08984375,4349.93017578125,14172.759765625,1976.4599609375
2022-01-27,34160.78125,4326.509765625,14003.1103515625,1931.2900390625
2022-01-28,34725.46875,4431.85009765625,14454.6103515625,1968.510009765625
2022-01-31,35131.859375,4515.5498046875,14930.0498046875,2028.449951171875
2022-02-01,35405.23828125,4546.5400390625,15019.6796875,2050.739990234375
2022-02-02,35629.328125,4589.3798828125,15139.740234375,2029.52001953125
2022-02-03,35111.16015625,4477.43994140625,14501.1103515625,1991.030029296875
2022-02-04,35089.73828125,4500.52978515625,14694.349609375,2002.3599853515625
2022-02-07,35091.12890625,4483.8701171875,14571.25,2012.5999755859375
2022-02-08,35462.78125,4521.5400390625,14747.0302734375,2045.3699951171875
2022-02-09,35768.05859375,4587.18017578125,15056.9599609375,2083.5
2022-02-10,35241.58984375,4504.080078125,14705.6396484375,2051.159912109375
2022-02-11,34738.05859375,4418.64013671875,14253.83984375,2030.1500244140625
2022-02-14,34566.171875,4401.669921875,14268.58984375,2020.7900390625
2022-02-15,34988.83984375,4471.06982421875,14620.8203125,2076.4599609375
2022-02-16,34934.26953125,4475.009765625,14603.6396484375,2079.31005859375
2022-02-17,34312.03125,4380.259765625,14171.740234375,2028.0899658203125
2022-02-18,34079.1796875,4348.8701171875,14009.5400390625,2009.3299560546875
2022-02-22,33596.609375,4304.759765625,13870.5302734375,1980.1700439453125
2022-02-23,33131.76171875,4225.5,13509.4296875,1944.0899658203125
2022-02-24,33223.828125,4288.7001953125,13974.669921875,1996.010009765625
2022-02-25,34058.75,4384.64990234375,14189.16015625,2040.9300537109375
2022-02-28,33892.6015625,4373.93994140625,14237.8095703125,2048.090087890625
2022-03-01,33294.94921875,4306.259765625,14005.990234375,2008.510009765625
2022-03-02,33891.3515625,4386.5400390625,14243.6904296875,2058.8701171875
2022-03-03,33794.66015625,4363.490234375,14035.2099609375,2032.4100341796875
2022-03-04,33614.80078125,4328.8701171875,13837.830078125,2000.9000244140625
2022-03-07,32817.37890625,4201.08984375,13319.3798828125,1951.3299560546875
2022-03-08,32632.640625,4170.7001953125,13267.6103515625,1963.010009765625
2022-03-09,33286.25,4277.8798828125,13742.2001953125,2016.2900390625
2022-03-10,33174.0703125,4259.52001953125,13591.0,2011.6700439453125
2022-03-11,32944.19140625,4204.31005859375,13301.830078125,1979.6700439453125
2022-03-14,32945.23828125,4173.10986328125,13046.6396484375,1941.719970703125
2022-03-15,33544.33984375,4262.4501953125,13458.5595703125,1968.969970703125
